date,n_trades,total_pnl,total_volume,win_rate,avg_trade_size,fg_value,n_accounts,pnl_per_volume_bps
2024-06-07,440,8902.467416,1098588.76,98.87640449438202,2496.7926363636366,77.0,3,81.03548607214951
2024-06-08,29,129.13883900000002,97351.88,100.0,3356.961379310345,72.0,2,13.265161289129702
2024-06-09,17,0.0,22410.22,,1318.2482352941176,75.0,2,0.0
2024-06-10,53,31.266804999999998,46587.93,100.0,879.0175471698113,72.0,2,6.711353133740864
2024-06-11,123,4320.631811,373279.92,100.0,3034.7960975609753,74.0,3,115.74776942193945
2024-06-12,254,-21886.531493,193407.96,26.923076923076923,761.4486614173228,72.0,2,-1131.625166461608
2024-06-13,79,6632.757115,132577.22,95.0,1678.1926582278481,70.0,2,500.2938751468767
2024-06-14,31,10258.592609,139868.66,100.0,4511.892258064517,74.0,2,733.4446908263794
2024-06-15,78,3369.958346,718350.25,100.0,9209.61858974359,74.0,2,46.912468478990576
2024-06-16,11,0.0,25235.079999999998,,2294.0981818181817,71.0,1,0.0
2024-06-17,38,10599.502375,368380.12,96.15384615384616,9694.213684210526,71.0,2,287.73274668024976
2024-06-18,25,282.57636,263314.79,100.0,10532.5916,74.0,2,10.731503536128754
2024-06-19,61,4887.656944,417071.12,100.0,6837.231475409836,64.0,3,117.19001171790558
2024-06-20,39,57478.456026,207990.8,100.0,5333.097435897435,60.0,3,2763.509541095087
2024-06-21,80,773.5582039999999,176264.49,100.0,2203.306125,63.0,2,43.8862191698396
2024-06-22,24,756.876565,169594.27000000002,100.0,7066.427916666667,53.0,2,44.62866375143452
2024-06-23,5,0.0,1792.12,,358.424,55.0,1,0.0
2024-06-24,31,0.0,403002.8,,13000.090322580645,51.0,2,0.0
2024-06-25,49,4869.353105,103099.08,100.0,2104.062857142857,30.0,1,472.2984050876109
2024-06-26,72,4197.732182,365190.66000000003,100.0,5072.092500000001,46.0,2,114.94631823278283
2024-06-27,30,0.0,130486.95,,4349.565,40.0,2,0.0
2024-06-29,75,6150.326145,280095.11,100.0,3734.6014666666665,30.0,2,219.5799185855119
2024-06-30,14,0.0,30520.69,,2180.049285714286,47.0,2,0.0
